Buildings:
Buildings\\castle.txt; X: 8; Y: 1
Buildings\\street.txt; X: 8; Y: 5
Buildings\\street.txt; X: 9; Y: 4
Buildings\\street.txt; X: 9; Y: 5
Buildings\\street.txt; X: 10; Y: 4
Buildings\\street.txt; X: 10; Y: 5
Buildings\\street.txt; X: 11; Y: 4
Buildings\\street.txt; X: 12; Y: 4
Buildings\\street.txt; X: 11; Y: 5
Buildings\\street.txt; X: 12; Y: 6
Buildings\\street.txt; X: 12; Y: 5
Buildings\\street.txt; X: 13; Y: 4
Buildings\\street.txt; X: 13; Y: 5
Buildings\\street.txt; X: 13; Y: 6
Buildings\\street.txt; X: 14; Y: 6
Buildings\\street.txt; X: 14; Y: 5
Buildings\\street.txt; X: 14; Y: 4
Buildings\\street.txt; X: 15; Y: 5
Buildings\\street.txt; X: 15; Y: 4
Buildings\\street.txt; X: 16; Y: 6
Buildings\\street.txt; X: 16; Y: 4
Buildings\\street.txt; X: 16; Y: 5
Buildings\\street.txt; X: 15; Y: 6
Buildings\\street.txt; X: 17; Y: 6
Buildings\\street.txt; X: 16; Y: 7
Buildings\\street.txt; X: 15; Y: 7
Buildings\\street.txt; X: 17; Y: 7
Buildings\\street.txt; X: 17; Y: 8
Buildings\\street.txt; X: 16; Y: 8
Buildings\\street.txt; X: 14; Y: 8
Buildings\\street.txt; X: 15; Y: 8
Buildings\\street.txt; X: 14; Y: 7
Buildings\\street.txt; X: 13; Y: 7
Buildings\\street.txt; X: 12; Y: 9
Buildings\\street.txt; X: 12; Y: 7
Buildings\\street.txt; X: 13; Y: 8
Buildings\\street.txt; X: 12; Y: 8
Buildings\\street.txt; X: 11; Y: 7
Buildings\\street.txt; X: 11; Y: 8
Buildings\\street.txt; X: 11; Y: 9
Buildings\\street.txt; X: 10; Y: 8
Buildings\\street.txt; X: 10; Y: 7
Buildings\\street.txt; X: 11; Y: 6
Buildings\\street.txt; X: 10; Y: 6
Buildings\\street.txt; X: 9; Y: 7
